"","Region","Geographic_Division","State","Year","Population2","Violent crime3","Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)4","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft"
"1","Northeast","New England","Connecticut","2018",3571520,7485,86,873,2205,4321,59356,7983,44181,7192
"2","Northeast","New England","Connecticut","2019",3565287,6546,104,771,1929,3742,50862,6441,38457,5964
"3","Northeast","New England","Maine","2018",1339057,1500,23,447,228,802,18201,2712,14712,777
"4","Northeast","New England","Maine","2019",1344212,1548,20,516,188,824,16743,2350,13667,726
"5","Northeast","New England","Massachusetts","2018",6882635,23424,138,2465,4084,16737,87658,14095,66968,6595
"6","Northeast","New England","Massachusetts","2019",6892503,22578,152,2204,3613,16609,81317,12341,62844,6132
"7","Northeast","New England","New Hampshire","2018",1353465,2404,21,578,342,1463,17201,1908,14396,897
"8","Northeast","New England","New Hampshire","2019",1359711,2074,33,590,313,1138,16442,1717,13832,893
"9","Northeast","New England","Rhode Island","2018",1058287,2326,16,494,453,1363,17625,2817,13270,1538
"10","Northeast","New England","Rhode Island","2019",1059361,2342,25,491,418,1408,16259,2321,12580,1358
"11","Northeast","New England","Vermont","2018",624358,1155,11,326,73,745,8211,1496,6451,264
"12","Northeast","New England","Vermont","2019",623989,1262,11,278,71,902,8888,1275,7315,298
"13","Northeast","Middle Atlantic","New Jersey","2018",8886025,18536,285,1424,6364,10463,125155,19232,94886,11037
"14","Northeast","Middle Atlantic","New Jersey","2019",8882190,18375,262,1531,5730,10852,118637,16399,91902,10336
"15","Northeast","Middle Atlantic","New York","2018",19530351,68512,562,6577,18191,43182,281543,31158,237243,13142
"16","Northeast","Middle Atlantic","New York","2019",19453561,69764,558,6583,18068,44555,267155,27600,226851,12704
"17","Northeast","Middle Atlantic","Pennsylvania","2018",12800922,39099,784,4490,9854,23971,190633,27054,150441,13138
"18","Northeast","Middle Atlantic","Pennsylvania","2019",12801989,39228,669,4351,9743,24465,179665,23354,143921,12390
"19","Midwest","East North Central","Illinois","2018",12723071,52343,902,6106,14251,31084,246679,39317,187517,19845
"20","Midwest","East North Central","Illinois","2019",12671821,51561,832,6078,12464,32187,233984,34433,180776,18775
"21","Midwest","East North Central","Indiana","2018",6695497,25009,418,2486,5737,16368,146948,25894,105861,15193
"22","Midwest","East North Central","Indiana","2019",6732219,24966,377,2475,5331,16783,132694,21795,97176,13723
"23","Midwest","East North Central","Michigan","2018",9984072,45176,555,7901,5638,31082,166186,31834,116876,17476
"24","Midwest","East North Central","Michigan","2019",9986857,43686,556,7235,5350,30545,158296,28572,111980,17744
"25","Midwest","East North Central","Ohio","2018",11676341,34426,596,5852,9608,18370,257848,49456,188433,19959
"26","Midwest","East North Central","Ohio","2019",11689100,34269,538,5731,8846,19154,240291,43894,177725,18672
"27","Midwest","East North Central","Wisconsin","2018",5807406,17365,175,2333,3493,11364,91238,14180,68380,8678
"28","Midwest","East North Central","Wisconsin","2019",5822434,17070,175,2261,2991,11643,85672,12667,65620,7385
"29","Midwest","West North Central","Iowa5","2018",3148618,8303,70,1126,989,6118,57024,12433,39498,5093
"30","Midwest","West North Central","Iowa5","2019",3155070,8410,60,1164,863,6323,54699,11710,37847,5142
"31","Midwest","West North Central","Kansas","2018",2911359,12861,122,1664,1420,9655,77449,12792,56726,7931
"32","Midwest","West North Central","Kansas","2019",2913314,11968,105,1416,1293,9154,67428,9984,50165,7279
"33","Midwest","West North Central","Minnesota","2018",5606249,12403,107,2475,2946,6875,112186,16206,85849,10131
"34","Midwest","West North Central","Minnesota","2019",5639632,13332,117,2448,3149,7618,117236,15927,90092,11217
"35","Midwest","West North Central","Missouri","2018",6121623,30696,599,2935,5206,21956,162698,27345,115506,19847
"36","Midwest","West North Central","Missouri","2019",6137428,30380,568,2917,4959,21936,161946,26414,114460,21072
"37","Midwest","West North Central","Nebraska","2018",1925614,5583,44,1290,736,3513,40193,5308,29987,4898
"38","Midwest","West North Central","Nebraska","2019",1934408,5821,45,1253,792,3731,39449,4745,29719,4985
"39","Midwest","West North Central","North Dakota","2018",758080,2154,18,409,158,1569,15621,2742,11088,1791
"40","Midwest","West North Central","North Dakota","2019",762062,2169,24,437,179,1529,15066,2608,10666,1792
"41","Midwest","West North Central","South Dakota","2018",878698,3483,12,617,222,2632,15191,2502,11237,1452
"42","Midwest","West North Central","South Dakota","2019",884659,3530,17,642,195,2676,15667,2646,11265,1756
"43","South","South Atlantic","Delaware","2018",965479,4079,46,334,861,2838,22405,3154,17780,1471
"44","South","South Atlantic","Delaware","2019",973764,4115,48,310,790,2967,21931,2968,17359,1604
"45","South","South Atlantic","District of Columbia","2018",701547,6995,160,450,2415,3970,30726,1788,26345,2593
"46","South","South Atlantic","District of Columbia","2019",705749,7403,166,345,2713,4179,30821,1843,26645,2333
